DVM,TSGTCmnMsgCode_LKP,,
MessageCode,MessageDescr,Comments
TSGT_CMN_DOC_TO_TEMP_ERROR,Error Occurred While Posting %1 to TEMP Directory,Used in the Onbase Integrations
TSGT_CMN_DOC_TO_ONBASE_ERROR,Error Occurred While Posting %1 to OnBase Directory,Used in the Onbase Integrations
TSGT_CMN_DOC_DELETE_TEMP,Deleted the %1 from TEMP Directory,Used in the Onbase Integrations
TSGT_CMN_DOC_TO_ONBASE_ERP_ERROR,Error while submitting job %1 to ERP,Used in the Onbase Integrations
TSGT_CMN_DOC_TO_ONBASE_PROCESSING_ERROR,Error occurred while %1,Used in the Onbase Integrations
TSGT_CMN_ERP_UPDATE_SUCCESS,Update %1 Succeeded,Used to record the DFF update status in ERP - OnBase Integrations
TSGT_CMN_ERP_UPDATE_FAILED,Update %1 Failed,Used to record the DFF update status in ERP - OnBase  Integrations
TSGT_ADHOC_PROCESS_ERROR,Error while processing the ADHOC Request,
TSGT_WRAPPER_PROCESS_ERROR,Error While processing the WRAPPER Request,
TSGT_CNTY_INBOUND_SERVICE_INITIATED,Inbound Trigger Service Initiated,
TSGT_CNTY_OUTBOUND_SERVICE_INITIATED,Outbound Trigger Service Initiated,
TSGT_CMN_INVALID_DATA,Invalid Data %1,Used in data insert service
TSGT_AP_INVOICE_IMPORT_FAILED,Error Occurred while Importing AP Invoice Inbound Process,Used in AP Callback Service
TSGT_MEDIATOR_SUPPLIER_CREATE_OR_UPDATE_ERROR,Error Occurred while Creating Or Updating Supplier in Inbound Process,
TSGT_MEDIATOR_SUPPLIER_CREATE_OR_UPDATE_SUCCESS,Supplier Created Or Updated Successfully,
TSGT_MEDIATOR_SUPPLIER_VALIDATION_ERROR,Error Occurred while Validating Supplier in Inbound Process,
TSGT_MEDIATOR_SUPPLIER_VALIDATION_SUCCESS,Supplier Validated Successfully,
TSGT_NO_ESS_JOB_ID_FOUND,ESS Job ID not Provided in the input Parameters,used in ESS Log Output Service
TSGT_INVALID_ESS_JOB_ID,Invalid ESS Job ID is Passed,used in ESS Log Output Service
TSGT_CMN_ESS_JOB_FILE_STATUS,Log File Found : %1  Output File Found : %2,used in ESS Log Output Service
TSGT_CMN_METADATA_DATA_ISSUE,Matadata Information is Invalid or Missing. Details: %1,Meta data information missing
TSGT_MEDIATOR_DS_NO_DATA_FOUND_ERROR,Error Occurred as their are no valid records found in File,
TSGT_CNTY_EFTNACHA_DISPATCHER_SUCCESS,Nacha File Extraction Dispatcher Successfully Completed,used in OB26 Nacha File Dispatcher Service
TSGT_CNTY_EFTNACHA_DISPATCHER_ERROR,Exception Occurred while %1,used in OB26 Nacha File Dispatcher Service
TSGT_CNTY_EFTNACHA_FILE_SUCCESS,File posted to SFTP and %1,used in OB26 Nacha File Dispatcher Service
TSGT_NO_NACHA_FILES,No Nacha Files Found in ERP,Used in Nacha File Extract Dispatcher
TSGT_AP_INVOICE_VALIDATE_SYSTEM_ERROR,System Error Occurred While Invoking Import Validation process. Please refer to the Integration logs.,Used in AP Validate Service
TSGT_AP_INVOICE_VALIDATE_APPROVAL_IMPORT_DISABLED,Either Invoice Validation Process or Invoice approval process is disabled in the metadata configuration.,Used in AP Validate Service
TSGT_AP_INVOICE_VALIDATE_IMPORT_DISABLED,Invoice Validation Process is disabled in the metadata configuration.,Used in AP Validate Service
TSGT_PJCCOST_CALLBACK_REPORT_ERROR,Import Cost Report Partially Generated.,Used in PJCCOST Service
TSGT_CMN_ESSLASTRUN_ERROR,System Error occurred while updating the Last Run Date Time.,
TSGT_BANKSTMT_ERP_IMPORT_ERROR,Bank Statements Import Process Error in ERP.,Used in Bank Statement
TSGT_CMN_INVALID_NOTIFICATION_CATEGORY,Invalid Notification Category,Used in Notification Service
